time,Y[0],col_2
01-01-1904,00:00:00.000000,0.6069539
01-01-1904,00:00:00.000100,0.604404
01-01-1904,00:00:00.000200,0.6095037
01-01-1904,00:00:00.000300,0.6107787
01-01-1904,00:00:00.000400,0.6133286
01-01-1904,00:00:00.000500,0.6133286
01-01-1904,00:00:00.000600,0.6146035
01-01-1904,00:00:00.000700,0.6107787
01-01-1904,00:00:00.000800,0.6146035
01-01-1904,00:00:00.000900,0.6107787
01-01-1904,00:00:00.001000,0.604404
01-01-1904,00:00:00.001100,0.6095037
01-01-1904,00:00:00.001200,0.603129
01-01-1904,00:00:00.001300,0.6133286
01-01-1904,00:00:00.001400,0.6069539
01-01-1904,00:00:00.001500,0.6120536
01-01-1904,00:00:00.001600,0.6120536
01-01-1904,00:00:00.001700,0.6107787
01-01-1904,00:00:00.001800,0.6069539
01-01-1904,00:00:00.001900,0.6082288
01-01-1904,00:00:00.002000,0.6069539
01-01-1904,00:00:00.002100,0.6120536
01-01-1904,00:00:00.002200,0.6133286
01-01-1904,00:00:00.002300,0.6171534
01-01-1904,00:00:00.002400,0.6197033
01-01-1904,00:00:00.002500,0.6184283
01-01-1904,00:00:00.002600,0.6197033
01-01-1904,00:00:00.002700,0.6197033
01-01-1904,00:00:00.002800,0.6184283
01-01-1904,00:00:00.002900,0.6158784
01-01-1904,00:00:00.003000,0.6056789
01-01-1904,00:00:00.003100,0.6107787
01-01-1904,00:00:00.003200,0.6158784
01-01-1904,00:00:00.003300,0.6107787
01-01-1904,00:00:00.003400,0.6069539
01-01-1904,00:00:00.003500,0.6095037
01-01-1904,00:00:00.003600,0.6056789
01-01-1904,00:00:00.003700,0.6120536
01-01-1904,00:00:00.003800,0.6056789
01-01-1904,00:00:00.003900,0.6120536
01-01-1904,00:00:00.004000,0.6069539
01-01-1904,00:00:00.004100,0.6120536
01-01-1904,00:00:00.004200,0.6069539
01-01-1904,00:00:00.004300,0.6120536
01-01-1904,00:00:00.004400,0.6082288
01-01-1904,00:00:00.004500,0.6133286
01-01-1904,00:00:00.004600,0.6171534
01-01-1904,00:00:00.004700,0.6133286
01-01-1904,00:00:00.004800,0.6171534
01-01-1904,00:00:00.004900,0.6158784
01-01-1904,00:00:00.005000,0.6158784
01-01-1904,00:00:00.005100,0.6158784
01-01-1904,00:00:00.005200,0.6158784
01-01-1904,00:00:00.005300,0.6107787
01-01-1904,00:00:00.005400,0.6133286
01-01-1904,00:00:00.005500,0.6082288
01-01-1904,00:00:00.005600,0.6146035
01-01-1904,00:00:00.005700,0.6095037
01-01-1904,00:00:00.005800,0.6107787
01-01-1904,00:00:00.005900,0.6184283
01-01-1904,00:00:00.006000,0.6133286
01-01-1904,00:00:00.006100,0.6133286
01-01-1904,00:00:00.006200,0.6107787
01-01-1904,00:00:00.006300,0.6158784
01-01-1904,00:00:00.006400,0.6133286
01-01-1904,00:00:00.006500,0.6133286
01-01-1904,00:00:00.006600,0.6171534
01-01-1904,00:00:00.006700,0.6158784
01-01-1904,00:00:00.006800,0.6146035
01-01-1904,00:00:00.006900,0.6158784
01-01-1904,00:00:00.007000,0.6158784
01-01-1904,00:00:00.007100,0.6171534
01-01-1904,00:00:00.007200,0.6171534
01-01-1904,00:00:00.007300,0.6222531
01-01-1904,00:00:00.007400,0.6197033
01-01-1904,00:00:00.007500,0.6311777
01-01-1904,00:00:00.007600,0.6235281
01-01-1904,00:00:00.007700,0.6324527
01-01-1904,00:00:00.007800,0.6235281
01-01-1904,00:00:00.007900,0.6235281
01-01-1904,00:00:00.008000,0.6209782
01-01-1904,00:00:00.008100,0.6158784
01-01-1904,00:00:00.008200,0.6184283
01-01-1904,00:00:00.008300,0.6107787
01-01-1904,00:00:00.008400,0.6133286
01-01-1904,00:00:00.008500,0.6107787
01-01-1904,00:00:00.008600,0.6133286
01-01-1904,00:00:00.008700,0.6056789
01-01-1904,00:00:00.008800,0.6133286
01-01-1904,00:00:00.008900,0.6095037
01-01-1904,00:00:00.009000,0.6133286
01-01-1904,00:00:00.009100,0.6069539
01-01-1904,00:00:00.009200,0.6171534
01-01-1904,00:00:00.009300,0.6197033
01-01-1904,00:00:00.009400,0.6197033
01-01-1904,00:00:00.009500,0.6107787
01-01-1904,00:00:00.009600,0.6171534
01-01-1904,00:00:00.009700,0.6146035
01-01-1904,00:00:00.009800,0.6184283
01-01-1904,00:00:00.009900,0.6133286
01-01-1904,00:00:00.010000,0.6171534
01-01-1904,00:00:00.010100,0.6222531
01-01-1904,00:00:00.010200,0.6197033
01-01-1904,00:00:00.010300,0.6171534
01-01-1904,00:00:00.010400,0.6171534
01-01-1904,00:00:00.010500,0.6146035
01-01-1904,00:00:00.010600,0.6209782
01-01-1904,00:00:00.010700,0.6158784
01-01-1904,00:00:00.010800,0.6197033
01-01-1904,00:00:00.010900,0.6133286
01-01-1904,00:00:00.011000,0.6197033
01-01-1904,00:00:00.011100,0.6133286
01-01-1904,00:00:00.011200,0.6209782
01-01-1904,00:00:00.011300,0.6158784
01-01-1904,00:00:00.011400,0.6184283
01-01-1904,00:00:00.011500,0.6222531
01-01-1904,00:00:00.011600,0.6209782
01-01-1904,00:00:00.011700,0.6158784
01-01-1904,00:00:00.011800,0.6184283
01-01-1904,00:00:00.011900,0.6095037
01-01-1904,00:00:00.012000,0.6146035
01-01-1904,00:00:00.012100,0.6197033
01-01-1904,00:00:00.012200,0.6158784
01-01-1904,00:00:00.012300,0.6158784
01-01-1904,00:00:00.012400,0.6158784
01-01-1904,00:00:00.012500,0.6107787
01-01-1904,00:00:00.012600,0.6158784
01-01-1904,00:00:00.012700,0.6197033
01-01-1904,00:00:00.012800,0.6209782
01-01-1904,00:00:00.012900,0.6222531
01-01-1904,00:00:00.013000,0.624803
01-01-1904,00:00:00.013100,0.6158784
01-01-1904,00:00:00.013200,0.6209782
01-01-1904,00:00:00.013300,0.6133286
01-01-1904,00:00:00.013400,0.6184283
01-01-1904,00:00:00.013500,0.6158784
01-01-1904,00:00:00.013600,0.6209782
01-01-1904,00:00:00.013700,0.626078
01-01-1904,00:00:00.013800,0.626078
01-01-1904,00:00:00.013900,0.6299028
01-01-1904,00:00:00.014000,0.6273529
01-01-1904,00:00:00.014100,0.6311777
01-01-1904,00:00:00.014200,0.626078
01-01-1904,00:00:00.014300,0.6273529
01-01-1904,00:00:00.014400,0.626078
01-01-1904,00:00:00.014500,0.624803
01-01-1904,00:00:00.014600,0.6286279
01-01-1904,00:00:00.014700,0.6273529
01-01-1904,00:00:00.014800,0.6235281
01-01-1904,00:00:00.014900,0.6222531
01-01-1904,00:00:00.015000,0.6197033
01-01-1904,00:00:00.015100,0.6235281
01-01-1904,00:00:00.015200,0.6146035
01-01-1904,00:00:00.015300,0.6197033
01-01-1904,00:00:00.015400,0.6146035
01-01-1904,00:00:00.015500,0.6184283
01-01-1904,00:00:00.015600,0.6197033
01-01-1904,00:00:00.015700,0.6222531
01-01-1904,00:00:00.015800,0.6235281
01-01-1904,00:00:00.015900,0.624803
01-01-1904,00:00:00.016000,0.6171534
01-01-1904,00:00:00.016100,0.6197033
01-01-1904,00:00:00.016200,0.6171534
01-01-1904,00:00:00.016300,0.6209782
01-01-1904,00:00:00.016400,0.6235281
01-01-1904,00:00:00.016500,0.6337276
01-01-1904,00:00:00.016600,0.626078
01-01-1904,00:00:00.016700,0.6273529
01-01-1904,00:00:00.016800,0.626078
01-01-1904,00:00:00.016900,0.6235281
01-01-1904,00:00:00.017000,0.6235281
01-01-1904,00:00:00.017100,0.6158784
01-01-1904,00:00:00.017200,0.6184283
01-01-1904,00:00:00.017300,0.6171534
01-01-1904,00:00:00.017400,0.6197033
01-01-1904,00:00:00.017500,0.626078
01-01-1904,00:00:00.017600,0.6222531
01-01-1904,00:00:00.017700,0.6273529
01-01-1904,00:00:00.017800,0.6197033
01-01-1904,00:00:00.017900,0.6146035
01-01-1904,00:00:00.018000,0.6158784
01-01-1904,00:00:00.018100,0.6197033
01-01-1904,00:00:00.018200,0.624803
01-01-1904,00:00:00.018300,0.624803
01-01-1904,00:00:00.018400,0.6286279
01-01-1904,00:00:00.018500,0.6273529
01-01-1904,00:00:00.018600,0.6197033
01-01-1904,00:00:00.018700,0.6222531
01-01-1904,00:00:00.018800,0.6146035
01-01-1904,00:00:00.018900,0.6197033
01-01-1904,00:00:00.019000,0.6158784
01-01-1904,00:00:00.019100,0.6222531
01-01-1904,00:00:00.019200,0.6133286
01-01-1904,00:00:00.019300,0.6222531
01-01-1904,00:00:00.019400,0.624803
01-01-1904,00:00:00.019500,0.6273529
01-01-1904,00:00:00.019600,0.6209782
01-01-1904,00:00:00.019700,0.626078
01-01-1904,00:00:00.019800,0.6197033
01-01-1904,00:00:00.019900,0.6197033
01-01-1904,00:00:00.020000,0.6273529
01-01-1904,00:00:00.020100,0.6235281
01-01-1904,00:00:00.020200,0.6209782
01-01-1904,00:00:00.020300,0.6235281
01-01-1904,00:00:00.020400,0.626078
01-01-1904,00:00:00.020500,0.626078
01-01-1904,00:00:00.020600,0.626078
01-01-1904,00:00:00.020700,0.626078
01-01-1904,00:00:00.020800,0.6171534
01-01-1904,00:00:00.020900,0.6209782
01-01-1904,00:00:00.021000,0.6095037
01-01-1904,00:00:00.021100,0.6158784
01-01-1904,00:00:00.021200,0.6095037
01-01-1904,00:00:00.021300,0.6171534
01-01-1904,00:00:00.021400,0.6158784
01-01-1904,00:00:00.021500,0.6222531
01-01-1904,00:00:00.021600,0.6273529
01-01-1904,00:00:00.021700,0.626078
01-01-1904,00:00:00.021800,0.624803
01-01-1904,00:00:00.021900,0.624803
01-01-1904,00:00:00.022000,0.624803
01-01-1904,00:00:00.022100,0.6311777
01-01-1904,00:00:00.022200,0.624803
01-01-1904,00:00:00.022300,0.6209782
01-01-1904,00:00:00.022400,0.624803
01-01-1904,00:00:00.022500,0.6209782
01-01-1904,00:00:00.022600,0.626078
01-01-1904,00:00:00.022700,0.6184283
01-01-1904,00:00:00.022800,0.626078
01-01-1904,00:00:00.022900,0.6235281
01-01-1904,00:00:00.023000,0.624803
01-01-1904,00:00:00.023100,0.6197033
01-01-1904,00:00:00.023200,0.6222531
01-01-1904,00:00:00.023300,0.6197033
01-01-1904,00:00:00.023400,0.6324527
01-01-1904,00:00:00.023500,0.6235281
01-01-1904,00:00:00.023600,0.626078
01-01-1904,00:00:00.023700,0.6222531
01-01-1904,00:00:00.023800,0.6133286
01-01-1904,00:00:00.023900,0.6158784
01-01-1904,00:00:00.024000,0.6095037
01-01-1904,00:00:00.024100,0.6184283
01-01-1904,00:00:00.024200,0.6095037
01-01-1904,00:00:00.024300,0.6197033
01-01-1904,00:00:00.024400,0.6107787
01-01-1904,00:00:00.024500,0.6197033
01-01-1904,00:00:00.024600,0.6171534
01-01-1904,00:00:00.024700,0.6197033
01-01-1904,00:00:00.024800,0.624803
01-01-1904,00:00:00.024900,0.6299028
01-01-1904,00:00:00.025000,0.6324527
01-01-1904,00:00:00.025100,0.6299028
01-01-1904,00:00:00.025200,0.6235281
01-01-1904,00:00:00.025300,0.624803
01-01-1904,00:00:00.025400,0.6184283
01-01-1904,00:00:00.025500,0.6222531
01-01-1904,00:00:00.025600,0.6158784
01-01-1904,00:00:00.025700,0.6209782
01-01-1904,00:00:00.025800,0.6133286
01-01-1904,00:00:00.025900,0.6171534
01-01-1904,00:00:00.026000,0.6158784
01-01-1904,00:00:00.026100,0.6209782
01-01-1904,00:00:00.026200,0.6311777
01-01-1904,00:00:00.026300,0.6286279
01-01-1904,00:00:00.026400,0.6171534
01-01-1904,00:00:00.026500,0.6235281
01-01-1904,00:00:00.026600,0.6095037
01-01-1904,00:00:00.026700,0.6158784
01-01-1904,00:00:00.026800,0.6095037
01-01-1904,00:00:00.026900,0.6158784
01-01-1904,00:00:00.027000,0.6146035
01-01-1904,00:00:00.027100,0.6209782
01-01-1904,00:00:00.027200,0.6120536
01-01-1904,00:00:00.027300,0.6222531
01-01-1904,00:00:00.027400,0.6158784
01-01-1904,00:00:00.027500,0.6222531
01-01-1904,00:00:00.027600,0.6158784
01-01-1904,00:00:00.027700,0.6235281
01-01-1904,00:00:00.027800,0.6158784
01-01-1904,00:00:00.027900,0.624803
01-01-1904,00:00:00.028000,0.6171534
01-01-1904,00:00:00.028100,0.624803
01-01-1904,00:00:00.028200,0.6171534
01-01-1904,00:00:00.028300,0.626078
01-01-1904,00:00:00.028400,0.6273529
01-01-1904,00:00:00.028500,0.626078
01-01-1904,00:00:00.028600,0.6235281
01-01-1904,00:00:00.028700,0.624803
01-01-1904,00:00:00.028800,0.6311777
01-01-1904,00:00:00.028900,0.624803
01-01-1904,00:00:00.029000,0.6311777
01-01-1904,00:00:00.029100,0.626078
01-01-1904,00:00:00.029200,0.6209782
01-01-1904,00:00:00.029300,0.6222531
01-01-1904,00:00:00.029400,0.6158784
01-01-1904,00:00:00.029500,0.6171534
01-01-1904,00:00:00.029600,0.6133286
01-01-1904,00:00:00.029700,0.6197033
01-01-1904,00:00:00.029800,0.6171534
01-01-1904,00:00:00.029900,0.6184283
01-01-1904,00:00:00.030000,0.6197033
01-01-1904,00:00:00.030100,0.6273529
01-01-1904,00:00:00.030200,0.6273529
01-01-1904,00:00:00.030300,0.6299028
01-01-1904,00:00:00.030400,0.6273529
01-01-1904,00:00:00.030500,0.6311777
01-01-1904,00:00:00.030600,0.6273529
01-01-1904,00:00:00.030700,0.6299028
01-01-1904,00:00:00.030800,0.6299028
01-01-1904,00:00:00.030900,0.6171534
01-01-1904,00:00:00.031000,0.6235281
01-01-1904,00:00:00.031100,0.6158784
01-01-1904,00:00:00.031200,0.624803
01-01-1904,00:00:00.031300,0.6286279
01-01-1904,00:00:00.031400,0.6299028
01-01-1904,00:00:00.031500,0.626078
01-01-1904,00:00:00.031600,0.6209782
01-01-1904,00:00:00.031700,0.6209782
01-01-1904,00:00:00.031800,0.6209782
01-01-1904,00:00:00.031900,0.6209782
01-01-1904,00:00:00.032000,0.6209782
01-01-1904,00:00:00.032100,0.6171534
01-01-1904,00:00:00.032200,0.6222531
01-01-1904,00:00:00.032300,0.6171534
01-01-1904,00:00:00.032400,0.6197033
01-01-1904,00:00:00.032500,0.6209782
01-01-1904,00:00:00.032600,0.6311777
01-01-1904,00:00:00.032700,0.624803
01-01-1904,00:00:00.032800,0.6146035
01-01-1904,00:00:00.032900,0.6171534
01-01-1904,00:00:00.033000,0.6107787
01-01-1904,00:00:00.033100,0.6197033
01-01-1904,00:00:00.033200,0.6146035
01-01-1904,00:00:00.033300,0.6235281
01-01-1904,00:00:00.033400,0.626078
01-01-1904,00:00:00.033500,0.626078
01-01-1904,00:00:00.033600,0.6299028
01-01-1904,00:00:00.033700,0.6273529
01-01-1904,00:00:00.033800,0.626078
01-01-1904,00:00:00.033900,0.626078
01-01-1904,00:00:00.034000,0.6286279
01-01-1904,00:00:00.034100,0.626078
01-01-1904,00:00:00.034200,0.626078
01-01-1904,00:00:00.034300,0.6209782
01-01-1904,00:00:00.034400,0.6209782
01-01-1904,00:00:00.034500,0.6209782
01-01-1904,00:00:00.034600,0.6273529
01-01-1904,00:00:00.034700,0.6235281
01-01-1904,00:00:00.034800,0.6197033
01-01-1904,00:00:00.034900,0.6209782
01-01-1904,00:00:00.035000,0.6197033
01-01-1904,00:00:00.035100,0.6171534
01-01-1904,00:00:00.035200,0.6158784
01-01-1904,00:00:00.035300,0.6197033
01-01-1904,00:00:00.035400,0.6197033
01-01-1904,00:00:00.035500,0.626078
01-01-1904,00:00:00.035600,0.626078
01-01-1904,00:00:00.035700,0.6146035
01-01-1904,00:00:00.035800,0.6171534
01-01-1904,00:00:00.035900,0.6146035
01-01-1904,00:00:00.036000,0.6171534
01-01-1904,00:00:00.036100,0.6171534
01-01-1904,00:00:00.036200,0.624803
01-01-1904,00:00:00.036300,0.6299028
01-01-1904,00:00:00.036400,0.626078
01-01-1904,00:00:00.036500,0.6197033
01-01-1904,00:00:00.036600,0.624803
01-01-1904,00:00:00.036700,0.6311777
01-01-1904,00:00:00.036800,0.6286279
01-01-1904,00:00:00.036900,0.6286279
01-01-1904,00:00:00.037000,0.6273529
01-01-1904,00:00:00.037100,0.624803
01-01-1904,00:00:00.037200,0.624803
01-01-1904,00:00:00.037300,0.6209782
01-01-1904,00:00:00.037400,0.624803
01-01-1904,00:00:00.037500,0.6184283
01-01-1904,00:00:00.037600,0.624803
01-01-1904,00:00:00.037700,0.6197033
01-01-1904,00:00:00.037800,0.624803
01-01-1904,00:00:00.037900,0.624803
01-01-1904,00:00:00.038000,0.624803
01-01-1904,00:00:00.038100,0.6209782
01-01-1904,00:00:00.038200,0.6209782
01-01-1904,00:00:00.038300,0.6197033
01-01-1904,00:00:00.038400,0.6171534
01-01-1904,00:00:00.038500,0.6235281
01-01-1904,00:00:00.038600,0.6197033
01-01-1904,00:00:00.038700,0.6171534
01-01-1904,00:00:00.038800,0.6184283
01-01-1904,00:00:00.038900,0.6146035
01-01-1904,00:00:00.039000,0.6235281
01-01-1904,00:00:00.039100,0.6184283
01-01-1904,00:00:00.039200,0.6209782
01-01-1904,00:00:00.039300,0.6197033
01-01-1904,00:00:00.039400,0.6209782
01-01-1904,00:00:00.039500,0.6197033
01-01-1904,00:00:00.039600,0.6299028
01-01-1904,00:00:00.039700,0.6311777
01-01-1904,00:00:00.039800,0.6273529
01-01-1904,00:00:00.039900,0.6222531
01-01-1904,00:00:00.040000,0.6235281
01-01-1904,00:00:00.040100,0.6222531
01-01-1904,00:00:00.040200,0.6286279
01-01-1904,00:00:00.040300,0.624803
01-01-1904,00:00:00.040400,0.6350026
01-01-1904,00:00:00.040500,0.626078
01-01-1904,00:00:00.040600,0.6311777
01-01-1904,00:00:00.040700,0.626078
01-01-1904,00:00:00.040800,0.6311777
01-01-1904,00:00:00.040900,0.6235281
01-01-1904,00:00:00.041000,0.6197033
01-01-1904,00:00:00.041100,0.6235281
01-01-1904,00:00:00.041200,0.6107787
01-01-1904,00:00:00.041300,0.6158784
01-01-1904,00:00:00.041400,0.6107787
01-01-1904,00:00:00.041500,0.6171534
01-01-1904,00:00:00.041600,0.6197033
